上海IPTV,#genre#
CCTV7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv7/1300000/mnf.m3u8
CCTV7,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctv7/1300000/mnf.m3u8
CCTV7,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv7/1300000/mnf.m3u8
CCTV7,http://112.25.48.68/live/program/live/cctv7/1300000/mnf.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV8,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV8,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV8,http://111.40.196.9/PLTV/88888888/224/3221225565/index.m3u8
CCTV8,http://111.40.196.9/PLTV/88888888/224/3221225592/index.m3u8
CCTV8,http://112.25.48.68/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://111.40.196.9/PLTV/88888888/224/3221225502/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV10,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv10/1300000/mnf.m3u8
CCTV10,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv10/1300000/mnf.m3u8
CCTV10,http://111.40.196.9/PLTV/88888888/224/3221225494/index.m3u8
CCTV10,http://111.40.196.9/PLTV/88888888/224/3221225567/index.m3u8
CCTV10,http://112.25.48.68/live/program/live/cctv10hd/4000000/mnf.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV11,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv11/1300000/mnf.m3u8
CCTV11,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv11/1300000/mnf.m3u8
CCTV11,http://111.40.196.9/PLTV/88888888/224/3221225496/index.m3u8
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV12,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV12,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225637/index.m3u8
CCTV12,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv12/1300000/mnf.m3u8
CCTV12,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctv12/1300000/mnf.m3u8
CCTV12,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv12/1300000/mnf.m3u8
CCTV12,http://111.40.196.9/PLTV/88888888/224/3221225498/index.m3u8
CCTV12,http://112.25.48.68/live/program/live/cctv12/1300000/mnf.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225638/index.m3u8
CCTV13,http://111.40.196.9/PLTV/88888888/224/3221225504/index.m3u8
CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV14,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctvsehd/4000000/mnf.m3u8
CCTV14,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctvsehd/4000000/mnf.m3u8
CCTV14,http://111.40.196.9/PLTV/88888888/224/3221225506/index.m3u8
CCTV14,http://111.40.196.9/PLTV/88888888/224/3221225573/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV15,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctvyy/1300000/mnf.m3u8
CCTV15,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctvyy/1300000/mnf.m3u8
CCTV15,http://111.40.196.9/PLTV/88888888/224/3221225500/index.m3u8
CCTV17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
地方卫视,#genre#
山东卫视,http://shbu4k.live.bestvcdn.com:8080/live/program/live/sdwshd/4000000/mnf.m3u8
山东卫视,http://111.40.196.9/PLTV/88888888/224/3221225526/index.m3u8
山东卫视,http://111.40.196.9/PLTV/88888888/224/3221225545/index.m3u8
山东卫视,http://111.40.196.9/PLTV/88888888/224/3221225546/index.m3u8
山东卫视,http://112.25.48.68/live/program/live/sdwshd/4000000/mnf.m3u8
北京卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/bjwshd/4000000/mnf.m3u8
北京卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/bjwshd/4000000/mnf.m3u8
北京卫视,http://111.40.196.9/PLTV/88888888/224/3221225540/index.m3u8
北京卫视,http://112.25.48.68/live/program/live/bjwshd/4000000/mnf.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
浙江卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/zjwshd/4000000/mnf.m3u8
浙江卫视,http://111.40.196.9/PLTV/88888888/224/3221225510/index.m3u8
浙江卫视,http://111.40.196.9/PLTV/88888888/224/3221225538/index.m3u8
浙江卫视,http://112.25.48.68/live/program/live/zjwshd/4000000/mnf.m3u8
湖南卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hnwshd/4000000/mnf.m3u8
湖南卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/hnwshd/4000000/mnf.m3u8
湖南卫视,http://111.40.196.9/PLTV/88888888/224/3221225521/index.m3u8
湖南卫视,http://111.40.196.9/PLTV/88888888/224/3221225554/index.m3u8
湖南卫视,http://112.25.48.68/live/program/live/hnwshd/4000000/mnf.m3u8
湖北卫视,http://shbu4k.live.bestvcdn.com:8080/live/program/live/hbwshd/4000000/mnf.m3u8
湖北卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/hbwshd/4000000/mnf.m3u8
湖北卫视,http://111.40.196.9/PLTV/88888888/224/3221225549/index.m3u8
湖北卫视,http://112.25.48.68/live/program/live/hbwshd/4000000/mnf.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
江西卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jxwshd/4000000/mnf.m3u8
江西卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/jxwshd/4000000/mnf.m3u8
江西卫视,http://111.40.196.9/PLTV/88888888/224/3221225560/index.m3u8
江西卫视,http://111.40.196.9/PLTV/88888888/224/3221225591/index.m3u8
江西卫视,http://112.25.48.68/live/program/live/jxwshd/4000000/mnf.m3u8
东南卫视,http://shbu4k.live.bestvcdn.com:8080/live/program/live/dnwshd/4000000/mnf.m3u8
东南卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/dnwshd/4000000/mnf.m3u8
东南卫视,http://112.25.48.68/live/program/live/dnwshd/4000000/mnf.m3u8
黑龙江卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hljwshd/4000000/mnf.m3u8
黑龙江卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/hljwshd/4000000/mnf.m3u8
黑龙江卫视,http://111.40.196.9/PLTV/88888888/224/3221225544/index.m3u8
黑龙江卫视,http://112.25.48.68/live/program/live/hljwshd/4000000/mnf.m3u8
深圳卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/szwshd/4000000/mnf.m3u8
深圳卫视,http://111.40.196.9/PLTV/88888888/224/3221225528/index.m3u8
深圳卫视,http://111.40.196.9/PLTV/88888888/224/3221225537/index.m3u8
深圳卫视,http://111.40.196.9/PLTV/88888888/224/3221225602/index.m3u8
深圳卫视,http://112.25.48.68/live/program/live/szwshd/4000000/mnf.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
广东卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/gdwshd/4000000/mnf.m3u8
广东卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/gdwshd/4000000/mnf.m3u8
广东卫视,http://111.40.196.9/PLTV/88888888/224/3221225508/index.m3u8
广东卫视,http://111.40.196.9/PLTV/88888888/224/3221225533/index.m3u8
广东卫视,http://111.40.196.9/PLTV/88888888/224/3221225600/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
东方卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hddfws/4000000/mnf.m3u8
东方卫视,http://111.40.196.9/PLTV/88888888/224/3221225507/index.m3u8
东方卫视,http://111.40.196.9/PLTV/88888888/224/3221225542/index.m3u8
东方卫视,http://112.25.48.68/live/program/live/hddfws/4000000/mnf.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226261/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225797/index.m3u8
江苏卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jswshd/4000000/mnf.m3u8
江苏卫视,http://shbu4k.live.bestvcdn.com:8080/live/program/live/jswshd/4000000/mnf.m3u8
江苏卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/jswshd/4000000/mnf.m3u8
江苏卫视,http://111.40.196.9/PLTV/88888888/224/3221225596/index.m3u8
江苏卫视,http://112.25.48.68/live/program/live/jswshd/4000000/mnf.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225800/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
天津卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/tjwshd/4000000/mnf.m3u8
天津卫视,http://shbu4k.live.bestvcdn.com:8080/live/program/live/tjwshd/4000000/mnf.m3u8
天津卫视,http://111.40.196.9/PLTV/88888888/224/3221225556/index.m3u8
天津卫视,http://111.40.196.9/PLTV/88888888/224/3221225597/index.m3u8
天津卫视,http://111.40.196.9/PLTV/88888888/224/3221225604/index.m3u8
天津卫视,http://112.25.48.68/live/program/live/tjwshd/4000000/mnf.m3u8
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
辽宁卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/lnwshd/4000000/mnf.m3u8
辽宁卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/lnwshd/4000000/mnf.m3u8
辽宁卫视,http://111.40.196.9/PLTV/88888888/224/3221225593/index.m3u8
辽宁卫视,http://112.25.48.68/live/program/live/lnwshd/4000000/mnf.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226210/index.m3u8
安徽卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/ahwshd/4000000/mnf.m3u8
安徽卫视,http://112.25.48.68/live/program/live/ahwshd/4000000/mnf.m3u8
河北卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hbws/1300000/mnf.m3u8
陕西卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/sxws/1300000/mnf.m3u8
广西卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/gxws/1300000/mnf.m3u8
广西卫视,http://112.25.48.68/live/program/live/gxws/1300000/mnf.m3u8
兵团卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/btws/1300000/mnf.m3u8
兵团卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/btws/1300000/mnf.m3u8
兵团卫视,http://112.25.48.68/live/program/live/btws/1300000/mnf.m3u8
吉林卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jlws/1300000/mnf.m3u8
吉林卫视,http://112.25.48.68/live/program/live/jlws/1300000/mnf.m3u8
厦门卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/xmws/1300000/mnf.m3u8
厦门卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/xmws/1300000/mnf.m3u8
厦门卫视,http://112.25.48.68/live/program/live/xmws/1300000/mnf.m3u8
甘肃卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/gsws/1300000/mnf.m3u8
甘肃卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/gsws/1300000/mnf.m3u8
甘肃卫视,http://112.25.48.68/live/program/live/gsws/1300000/mnf.m3u8
贵州卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/gzws/1300000/mnf.m3u8
河南卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hnws/1300000/mnf.m3u8
海南卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/lyws/1300000/mnf.m3u8
海南卫视,http://112.25.48.68/live/program/live/lyws/1300000/mnf.m3u8
